begroeidterreindeel,onbegroeidterreindeel,waterdeel,wegdeel,scheiding,pand,overigbouwwerk,spoor,functioneelgebied
loofbos,erf,zee,OV-baan,muur,,overkapping,trein,kering
gemengd bos,gesloten verharding,waterloop,overweg,kademuur,,open loods,sneltram,
naaldbos,open verharding,watervlakte,spoorbaan,damwand,,opslagtank,tram,
heide,half verhard,"greppel, droge sloot",baan vor vliegverkeer,geluidsscherm,,bezinkbak,,
struiken,onverhard,,rijbaan autosnelweg,walbescherming,,windturbine,,
houtwal,zand,,rijbaan autoweg,hek,,lage trafo,,
duin,,,rijbaan regionale weg,,,bassin,,
grasland overig,,,rijbaan lokale weg,,,,,
moeras,,,fietspad,,,,,
rietland,,,voetpad,,,,,
kwelder,,,voetpad op trap,,,,,
fruitteelt,,,ruiterpad,,,,,
boomteelt,,,parkeervlak,,,,,
bouwland,,,voetgangersgebied,,,,,
grasland agrarisch,,,inrit,,,,,
groenvoorziening,,,woonerf,,,,,
,,,gesloten verharding,,,,,
,,,open verharding,,,,,
,,,half verhard,,,,,
,,,onverhard,,,,,
