AWS,WMO_ID,Manual_TC_1,Manual_TC_R
Arcen,06391,5,4-5
Berkhout,06249,2,2
Cabauw mast,06348,2,2
De Bilt,06260,4,3-4
De Kooy,06235,1,1
Deelen,06275,5,4-5
Eelde,06280,4,4
Eindhoven,06370,4,3-4
Ell,06377,4,3-4
Gilze-Rijen,06350,1,1
Heino,06278,1,1
Herwijnen,06356,1,1
Hoek van Holland,06330,5,4-5
Hoogeveen,06279,4,3-4
Hoorn Terschelling,06251,1,1
Hupsel,06283,3,3
Lauwersoog,06277,4,4
Leeuwarden,06270,2,1-2
Lelystad,06269,1,1
Maastricht,06380,3,2-3
Marknesse,06273,4,3-4
Nieuw Beerta,06286,4,3-4
Rotterdam,06344,2,2
Schiphol,06240,1,1
Stavoren,06267,2,2
Twenthe,06290,4,3-4
Vlieland,06242,4,4
Vlissingen,06310,4,3-4
Volkel,06375,1,1
Voorschoten,06215,1,1
Westdorpe,06319,4,3-4
Wijk aan zee,06257,5,4-5
Wilhelminadorp,06323,4,3-4
Woensdrecht,06340,2,2
